woord,session
aandelen,4
aanraden,0
aanzien,0
aanzoek,0
aarzelen,0
aflopen,0
afnemen,0
afval,0
akkoord,2
anarchie,0
apparaat,0
attentie,0
baai,0
baas,0
baron,0
bedoelen,0
beseffen,0
besmet,0
bever,0
bijkomen,3
bisschop,0
blad,0
bleek,0
blijven,3
blik,2
bloeien,0
boeien,0
daarheen,0
dans,4
diep,0
doodmoe,0
driemaal,0
dubbel,0
eenhoorn,0
eetlust,4
excuus,0
feestdag,0
flirt,3
flits,0
gebit,0
gedicht,0
geduld,3
gegeven,0
geheim,0
geit,2
geld,0
geliefd,0
geluid,0
gerucht,0
getuigen,3
gezond,0
goedkoop,0
graaf,0
grappen,0
groen,3
hechten,3
heengaan,0
heilig,0
hier,0
hiervan,0
huisdier,2
ijdel,0
innemen,0
invloed,4
jaar,0
jagen,0
jasje,3
joggen,3
jurk,4
kaal,0
kabel,0
kanjer,0
kasteel,0
keihard,0
kennis,0
klauw,0
kleren,0
klimmen,0
knaap,3
knie,0
knielen,3
koffie,2
komisch,4
koppen,0
kreeft,2
kring,2
kust,0
laag,0
laken,0
leek,0
legaal,3
leren,0
leuk,4
lever,4
liefje,0
lokken,0
loyaal,2
lukken,0
lust,0
maaltijd,2
maken,0
maling,4
mand,0
mening,0
middelen,0
mijn,0
mijnheer,4
mist,3
mode,0
moes,0
muziek,0
nakijken,0
nodig,0
oceaan,0
openbaar,3
opheffen,0
opkijken,4
opkomen,4
oprotten,0
opzicht,0
palm,0
parel,4
piste,0
plek,4
poes,0
praat,0
prikken,0
rechten,0
redding,0
rijp,0
samen,0
schaamte,0
schat,0
schatten,0
schep,0
schuilen,0
seizoen,0
site,3
slagen,2
slak,0
slapen,0
smullen,0
snoep,0
snuiven,3
soda,0
spanning,0
stal,0
staren,3
steek,2
steel,0
stemming,0
stiekem,2
stof,3
stoom,0
strak,0
strekken,0
strikken,0
sufferd,0
taal,2
techniek,2
tekst,2
ticket,0
toegeven,3
toeval,0
totaal,0
traag,2
trekker,2
twijfel,0
uien,0
uitdelen,0
uitlaat,0
verhaal,0
vervoer,0
vinger,0
vlek,0
volop,0
voorraad,4
vorm,0
vreten,0
vullen,0
vuur,0
waarbij,2
waarop,0
waarvan,0
wagon,0
waken,0
weeshuis,0
wegen,4
weigeren,0
wijlen,4
woede,0
woestijn,2
woning,0
zaal,0
ziek,2
zingen,4
zout,3
zuster,0
zwart,4
zweven,4
